t,ecg,ppg,spo2
1761449874.8010051,8.0,179.0,176.0
1761449874.8365235,8.0,179.0,177.0
1761449874.8530586,672.0,179.0,181.0
1761449874.855364,8.0,179.0,176.0
1761449874.8792298,9.0,179.0,176.0
1761449874.9023333,671.0,179.0,180.0
1761449874.9303207,186.0,179.0,176.0
1761449874.9711063,9.0,179.0,176.0
1761449875.0088873,672.0,179.0,181.0
1761449875.031257,600.0,179.0,178.0
1761449875.0345297,9.0,179.0,176.0
1761449875.0623708,671.0,179.0,180.0
1761449875.106466,671.0,179.0,178.0
1761449875.1438842,8.0,179.0,175.0
1761449875.1667717,671.0,179.0,180.0
1761449875.1838524,671.0,179.0,179.0
1761449875.202656,8.0,178.0,175.0
1761449875.2177632,327.0,179.0,178.0
1761449875.2464151,671.0,179.0,180.0
1761449875.2732432,9.0,178.0,176.0
1761449875.3044176,49.0,179.0,178.0
1761449875.3350654,671.0,179.0,180.0
1761449875.352346,8.0,178.0,176.0
1761449875.377345,9.0,178.0,177.0
1761449875.4091072,671.0,179.0,180.0
1761449875.4342024,22.0,179.0,175.0
1761449875.464868,8.0,179.0,176.0
1761449875.484097,671.0,178.0,180.0
1761449875.5084825,426.0,179.0,176.0
1761449875.54204,9.0,178.0,176.0
1761449875.569394,671.0,178.0,181.0
1761449875.6036086,664.0,178.0,179.0
1761449875.6148307,8.0,178.0,175.0
1761449875.6435282,671.0,178.0,179.0
1761449875.6883678,671.0,178.0,179.0
1761449875.7270615,8.0,178.0,175.0
1761449875.7346013,572.0,178.0,179.0
1761449875.7522998,672.0,178.0,179.0
1761449875.7750268,8.0,178.0,174.0
1761449875.814633,226.0,178.0,177.0
1761449875.8553834,671.0,178.0,179.0
1761449875.88179,9.0,178.0,175.0
1761449875.8878117,9.0,179.0,176.0
1761449875.9148324,672.0,178.0,181.0
1761449875.930378,9.0,178.0,176.0
1761449875.9586742,9.0,178.0,176.0
1761449875.9923952,671.0,178.0,180.0
1761449876.0210571,358.0,178.0,176.0
1761449876.0415375,8.0,178.0,175.0
1761449876.0649679,672.0,178.0,180.0
1761449876.1006203,664.0,178.0,177.0
1761449876.1349907,9.0,178.0,175.0
1761449876.1635053,671.0,178.0,179.0
1761449876.1819596,671.0,178.0,177.0
1761449876.2021213,8.0,178.0,173.0
1761449876.2377355,670.0,179.0,178.0
1761449876.2681522,672.0,178.0,178.0
1761449876.2865527,9.0,178.0,174.0
1761449876.30275,288.0,178.0,177.0
1761449876.3414474,671.0,178.0,178.0
1761449876.3524482,8.0,178.0,174.0
1761449876.3807418,9.0,178.0,175.0
1761449876.413498,671.0,178.0,179.0
1761449876.4426806,8.0,178.0,174.0
1761449876.4622579,9.0,178.0,176.0
1761449876.4870973,671.0,178.0,180.0
1761449876.51954,268.0,178.0,176.0
1761449876.5517685,9.0,178.0,176.0
1761449876.58245,672.0,178.0,180.0
1761449876.6033092,593.0,179.0,177.0
1761449876.6228108,9.0,178.0,175.0
1761449876.6583395,671.0,178.0,179.0
1761449876.6879995,671.0,178.0,178.0
1761449876.7336535,8.0,178.0,174.0
1761449876.7340994,670.0,178.0,178.0
1761449876.7618225,671.0,178.0,177.0
1761449876.7853153,9.0,178.0,174.0
1761449876.8027945,335.0,178.0,177.0
1761449876.8273816,671.0,178.0,178.0
1761449876.8647969,8.0,178.0,175.0
1761449876.892252,9.0,178.0,177.0
1761449876.9146473,671.0,178.0,180.0
1761449876.9369361,8.0,177.0,175.0
1761449876.9727318,8.0,178.0,176.0
1761449877.0096304,672.0,178.0,180.0
1761449877.0446353,93.0,178.0,175.0
1761449877.0475838,8.0,178.0,176.0
1761449877.068366,671.0,178.0,180.0
1761449877.0935128,555.0,178.0,177.0
1761449877.1232467,8.0,178.0,174.0
1761449877.1511023,671.0,178.0,179.0
1761449877.184313,671.0,178.0,179.0
1761449877.2046762,8.0,178.0,174.0
1761449877.2248387,671.0,178.0,179.0
1761449877.25405,671.0,178.0,178.0
1761449877.2874038,9.0,178.0,174.0
1761449877.3188393,445.0,178.0,179.0
1761449877.3403935,672.0,178.0,179.0
1761449877.3559256,8.0,178.0,175.0
1761449877.3879743,46.0,179.0,176.0
1761449877.4181514,671.0,178.0,180.0
1761449877.450303,8.0,178.0,175.0
1761449877.471279,9.0,178.0,175.0
1761449877.4868822,672.0,178.0,179.0
1761449877.5258455,159.0,178.0,176.0
1761449877.5584018,9.0,178.0,175.0
1761449877.5908136,671.0,178.0,180.0
1761449877.59759,482.0,177.0,176.0
1761449877.6235511,8.0,178.0,175.0
1761449877.6466117,671.0,178.0,180.0
1761449877.6963942,668.0,178.0,178.0
1761449877.729263,9.0,178.0,174.0
1761449877.735061,672.0,178.0,179.0
1761449877.762346,671.0,177.0,178.0
1761449877.777904,8.0,178.0,175.0
1761449877.8064554,547.0,178.0,179.0
1761449877.8391435,672.0,178.0,179.0
1761449877.8673105,9.0,178.0,174.0
1761449877.8967803,248.0,177.0,177.0
1761449877.9123182,671.0,177.0,178.0
1761449877.938853,9.0,178.0,174.0
1761449877.9676614,9.0,178.0,175.0
1761449878.0030546,671.0,179.0,179.0
1761449878.0253568,8.0,178.0,175.0
1761449878.0436008,9.0,178.0,177.0
1761449878.0760515,672.0,178.0,181.0
1761449878.1111846,348.0,178.0,176.0
1761449878.1384997,9.0,179.0,175.0
1761449878.1583786,672.0,178.0,181.0
1761449878.1758895,645.0,179.0,177.0
1761449878.2135708,9.0,179.0,174.0
1761449878.247669,671.0,178.0,180.0
1761449878.2768412,671.0,178.0,178.0
1761449878.2842915,9.0,178.0,175.0
1761449878.3166869,667.0,178.0,180.0
1761449878.3412561,671.0,178.0,179.0
1761449878.3831275,9.0,178.0,174.0
1761449878.412946,284.0,178.0,178.0
1761449878.4154804,671.0,179.0,178.0
1761449878.4456732,9.0,178.0,174.0
1761449878.4795928,9.0,178.0,176.0
1761449878.5103252,672.0,178.0,180.0
1761449878.5427022,9.0,178.0,174.0
1761449878.5602415,9.0,178.0,177.0
1761449878.5801518,671.0,178.0,180.0
1761449878.5970545,212.0,178.0,175.0
1761449878.6480978,9.0,178.0,176.0
1761449878.6838715,672.0,178.0,181.0
1761449878.6872506,566.0,178.0,176.0
1761449878.709941,9.0,179.0,174.0
1761449878.7282515,671.0,179.0,180.0
1761449878.7607753,670.0,178.0,177.0
1761449878.7947233,8.0,178.0,174.0
1761449878.8300645,670.0,178.0,180.0
1761449878.8485796,671.0,179.0,178.0
1761449878.8612149,9.0,178.0,174.0
1761449878.9036896,375.0,178.0,178.0
1761449878.9371934,671.0,177.0,178.0
1761449878.9739926,8.0,178.0,174.0
1761449878.9779649,10.0,178.0,177.0
1761449878.9993181,671.0,179.0,179.0
1761449879.024683,9.0,178.0,174.0
1761449879.065656,9.0,178.0,176.0
1761449879.1001081,671.0,178.0,179.0
1761449879.128762,101.0,178.0,175.0
1761449879.1312203,8.0,178.0,176.0
1761449879.163933,672.0,178.0,181.0
1761449879.1783981,456.0,178.0,176.0
1761449879.2124019,8.0,178.0,175.0
1761449879.2455611,671.0,178.0,180.0
1761449879.2780275,669.0,177.0,177.0
1761449879.3039484,9.0,178.0,174.0
1761449879.3190036,671.0,178.0,179.0
1761449879.3341875,671.0,178.0,177.0
1761449879.3943067,9.0,178.0,174.0
1761449879.4250348,447.0,178.0,179.0
1761449879.4427238,671.0,179.0,178.0
1761449879.4499898,8.0,178.0,174.0
1761449879.4689782,124.0,177.0,177.0
1761449879.4983895,671.0,178.0,179.0
1761449879.5337813,9.0,178.0,175.0
1761449879.5702357,9.0,178.0,176.0
1761449879.5906248,672.0,178.0,180.0
1761449879.6134036,8.0,178.0,175.0
1761449879.6250525,9.0,178.0,176.0
1761449879.6780653,671.0,177.0,180.0
1761449879.6785252,342.0,178.0,176.0
1761449879.717053,9.0,178.0,175.0
1761449879.7562675,672.0,178.0,180.0
1761449879.7760947,664.0,178.0,177.0
1761449879.7949233,8.0,178.0,175.0
1761449879.809453,671.0,177.0,179.0
1761449879.851418,671.0,178.0,177.0
1761449879.8929577,8.0,178.0,174.0
1761449879.9344647,611.0,178.0,179.0
1761449879.960443,671.0,178.0,178.0
1761449879.9720192,9.0,178.0,174.0
1761449879.9830728,192.0,177.0,177.0
1761449879.9938502,671.0,178.0,179.0
1761449880.0277452,9.0,178.0,174.0
1761449880.0775523,9.0,178.0,177.0
1761449880.120388,671.0,178.0,180.0
1761449880.1243656,8.0,177.0,174.0
1761449880.1475968,9.0,178.0,176.0
1761449880.162549,672.0,178.0,180.0
1761449880.1782625,233.0,177.0,174.0
1761449880.236719,8.0,177.0,175.0
1761449880.2723594,671.0,178.0,179.0
1761449880.2753873,551.0,177.0,176.0
1761449880.2983804,9.0,177.0,174.0
1761449880.3161058,671.0,177.0,179.0
1761449880.35642,670.0,177.0,177.0
1761449880.3937163,9.0,177.0,173.0
1761449880.4303722,671.0,177.0,178.0
1761449880.4336662,671.0,178.0,177.0
1761449880.4580224,9.0,177.0,172.0
1761449880.4777646,346.0,177.0,177.0
1761449880.5180306,671.0,178.0,178.0
1761449880.5543275,9.0,177.0,172.0
1761449880.5909562,9.0,177.0,176.0
1761449880.5935385,672.0,178.0,179.0
1761449880.6203976,8.0,177.0,174.0
1761449880.6350431,9.0,177.0,176.0
1761449880.6533139,672.0,177.0,180.0
1761449880.6862123,169.0,177.0,175.0
1761449880.7206059,8.0,177.0,175.0
1761449880.7672036,671.0,177.0,179.0
1761449880.7696493,526.0,177.0,175.0
1761449880.7977567,9.0,177.0,174.0
1761449880.819088,672.0,177.0,179.0
1761449880.8556902,670.0,177.0,176.0
1761449880.8919246,8.0,177.0,173.0
1761449880.9278016,671.0,177.0,178.0
1761449880.9339542,671.0,177.0,177.0
1761449880.9530916,9.0,177.0,173.0
1761449880.9734051,452.0,177.0,178.0
1761449881.0078657,671.0,177.0,177.0
1761449881.0443945,9.0,177.0,172.0
1761449881.0770583,98.0,177.0,176.0
1761449881.0799613,671.0,177.0,178.0
1761449881.1148307,8.0,177.0,173.0
1761449881.1283798,9.0,177.0,175.0
1761449881.157667,672.0,177.0,179.0
1761449881.1958556,9.0,177.0,173.0
1761449881.233761,9.0,177.0,175.0
1761449881.2380185,671.0,177.0,179.0
1761449881.266897,416.0,177.0,175.0
1761449881.2881958,8.0,177.0,174.0
1761449881.3143032,672.0,177.0,179.0
1761449881.349194,668.0,177.0,177.0
1761449881.3834808,9.0,177.0,174.0
1761449881.4020562,671.0,177.0,178.0
1761449881.421184,671.0,177.0,176.0
1761449881.4558039,9.0,177.0,172.0
1761449881.4904034,551.0,177.0,178.0
1761449881.5188842,672.0,176.0,177.0
1761449881.540769,8.0,177.0,173.0
1761449881.557142,174.0,176.0,177.0
1761449881.595524,671.0,177.0,178.0
1761449881.6517746,9.0,177.0,173.0
1761449881.6560366,8.0,176.0,176.0
1761449881.6752198,671.0,177.0,179.0
1761449881.6935172,9.0,177.0,174.0
1761449881.7100801,8.0,177.0,175.0
1761449881.7603233,671.0,177.0,179.0
1761449881.7933404,375.0,177.0,174.0
1761449881.7937624,8.0,177.0,174.0
1761449881.8296406,672.0,177.0,179.0
1761449881.8412275,657.0,177.0,175.0
1761449881.8793347,9.0,177.0,172.0
1761449881.9154127,671.0,177.0,179.0
1761449881.948656,671.0,176.0,177.0
1761449882.0096717,9.0,177.0,173.0
1761449882.0104916,650.0,176.0,179.0
1761449882.0209126,671.0,177.0,177.0
1761449882.0281525,8.0,176.0,173.0
1761449882.0630052,232.0,177.0,176.0
1761449882.0979223,671.0,177.0,177.0
1761449882.1262984,8.0,177.0,173.0
1761449882.1496558,9.0,176.0,176.0
1761449882.163988,671.0,177.0,179.0
1761449882.1854997,8.0,177.0,173.0
1761449882.2154849,9.0,177.0,175.0
1761449882.255716,672.0,177.0,179.0
1761449882.2886968,265.0,177.0,174.0
1761449882.3089397,8.0,177.0,175.0
1761449882.3208253,671.0,177.0,179.0
1761449882.358756,604.0,177.0,176.0
1761449882.39771,9.0,177.0,174.0
1761449882.4311364,671.0,177.0,179.0
1761449882.4498773,670.0,177.0,177.0
1761449882.4591663,9.0,177.0,174.0
1761449882.4761336,671.0,177.0,179.0
1761449882.501449,671.0,177.0,176.0
1761449882.5321407,9.0,177.0,173.0
1761449882.5666203,329.0,177.0,177.0
1761449882.5858686,671.0,177.0,177.0
1761449882.6070619,9.0,177.0,173.0
1761449882.635285,9.0,177.0,176.0
1761449882.6653497,672.0,177.0,179.0
1761449882.6990993,9.0,177.0,173.0
1761449882.7291543,9.0,177.0,176.0
1761449882.7382069,672.0,177.0,179.0
1761449882.7667105,161.0,177.0,174.0
1761449882.7962766,8.0,177.0,175.0
1761449882.8279698,671.0,177.0,179.0
1761449882.859138,527.0,177.0,175.0
1761449882.8728476,9.0,177.0,174.0
1761449882.8982427,671.0,177.0,179.0
1761449882.934729,670.0,177.0,176.0
1761449882.9668665,9.0,177.0,173.0
1761449882.9843721,671.0,177.0,178.0
1761449883.0043068,671.0,177.0,176.0
1761449883.038144,8.0,177.0,173.0
1761449883.0694299,432.0,177.0,177.0
1761449883.1071913,671.0,177.0,177.0
1761449883.1221259,8.0,177.0,173.0
1761449883.1405056,80.0,177.0,175.0
1761449883.1734142,672.0,177.0,178.0
1761449883.2094846,9.0,177.0,172.0
1761449883.2391376,9.0,177.0,174.0
1761449883.2582426,671.0,177.0,178.0
1761449883.2743483,9.0,177.0,172.0
1761449883.2947702,8.0,177.0,175.0
1761449883.3538954,671.0,177.0,179.0
1761449883.3849583,433.0,177.0,174.0
1761449883.4044218,8.0,177.0,173.0
1761449883.41045,671.0,177.0,179.0
1761449883.4263897,669.0,176.0,177.0
1761449883.4667647,8.0,177.0,173.0
1761449883.506075,671.0,177.0,178.0
1761449883.540997,672.0,177.0,177.0
1761449883.5568576,8.0,176.0,172.0
1761449883.5704486,530.0,177.0,177.0
1761449883.5854712,671.0,177.0,176.0
1761449883.610709,8.0,177.0,172.0
1761449883.6443553,166.0,177.0,176.0
1761449883.6952515,671.0,177.0,178.0
1761449883.7013135,9.0,176.0,173.0
1761449883.7173154,9.0,177.0,174.0
1761449883.755947,672.0,177.0,179.0
1761449883.7871764,9.0,177.0,173.0
1761449883.8223472,9.0,176.0,175.0
1761449883.8459177,671.0,177.0,178.0
1761449883.8607926,350.0,177.0,174.0
1761449883.872852,9.0,177.0,174.0
1761449883.9013102,671.0,176.0,179.0
1761449883.9586973,659.0,177.0,176.0
1761449883.9616413,8.0,176.0,173.0
1761449883.9918342,671.0,177.0,178.0
1761449884.0075011,671.0,177.0,176.0
1761449884.0330017,9.0,177.0,172.0
1761449884.06463,635.0,176.0,178.0
1761449884.095045,671.0,176.0,177.0
1761449884.1188123,8.0,176.0,172.0
1761449884.1389039,233.0,176.0,177.0
1761449884.1716506,671.0,176.0,178.0
1761449884.2057803,8.0,176.0,173.0
1761449884.2442863,9.0,177.0,175.0
1761449884.260433,672.0,176.0,179.0
1761449884.2766917,9.0,177.0,172.0
1761449884.2947562,8.0,176.0,174.0
1761449884.344474,672.0,177.0,178.0
1761449884.3809786,282.0,177.0,173.0
1761449884.3998172,9.0,177.0,174.0
1761449884.4136102,671.0,176.0,178.0
1761449884.4294968,604.0,176.0,176.0
1761449884.4586043,9.0,177.0,173.0
1761449884.4897795,671.0,176.0,178.0
1761449884.5293534,671.0,177.0,176.0
1761449884.546171,8.0,176.0,173.0
1761449884.564511,670.0,177.0,178.0
1761449884.602812,672.0,177.0,177.0
1761449884.6398256,9.0,176.0,173.0
1761449884.6433332,321.0,176.0,177.0
1761449884.684408,672.0,176.0,177.0
1761449884.7085364,9.0,177.0,172.0
1761449884.722805,10.0,176.0,176.0
1761449884.768405,671.0,176.0,178.0
1761449884.769802,8.0,176.0,172.0
1761449884.8077724,8.0,176.0,175.0
1761449884.8634117,672.0,177.0,179.0
1761449884.8672378,114.0,177.0,173.0
1761449884.8848832,8.0,176.0,174.0
1761449884.9046504,671.0,176.0,179.0
1761449884.9324877,506.0,176.0,175.0
1761449884.9717245,8.0,176.0,173.0
1761449885.0119812,671.0,176.0,179.0
1761449885.0347643,669.0,176.0,176.0
1761449885.0416453,8.0,176.0,173.0
1761449885.0630715,671.0,177.0,178.0
1761449885.104377,671.0,177.0,176.0
1761449885.1413357,9.0,176.0,173.0
1761449885.1752179,458.0,176.0,177.0
1761449885.1943939,672.0,176.0,177.0
1761449885.2002573,9.0,177.0,172.0
1761449885.2211914,100.0,176.0,176.0
1761449885.252167,671.0,176.0,178.0
1761449885.285149,9.0,177.0,172.0
1761449885.3221283,9.0,176.0,175.0
1761449885.341412,671.0,176.0,178.0
1761449885.3581245,9.0,176.0,172.0
1761449885.3985775,8.0,176.0,175.0
1761449885.467056,671.0,176.0,179.0
1761449885.4700813,409.0,176.0,174.0
1761449885.4898045,8.0,176.0,173.0
1761449885.4962094,671.0,177.0,178.0
1761449885.5118322,667.0,176.0,175.0
1761449885.5454772,9.0,176.0,173.0
1761449885.580823,671.0,176.0,178.0
1761449885.621407,672.0,177.0,177.0
1761449885.6431506,9.0,177.0,172.0
1761449885.6481912,590.0,176.0,178.0
1761449885.6722908,671.0,176.0,177.0
1761449885.7177453,9.0,176.0,173.0
1761449885.7201104,293.0,176.0,176.0
1761449885.75819,672.0,176.0,177.0
1761449885.7965138,8.0,177.0,172.0
1761449885.817951,8.0,176.0,175.0
1761449885.8341012,671.0,177.0,178.0
1761449885.8514707,8.0,176.0,173.0
1761449885.9055426,8.0,177.0,174.0
1761449885.943044,671.0,177.0,178.0
1761449885.9635594,265.0,177.0,174.0
1761449885.9692538,8.0,176.0,175.0
1761449885.9863985,671.0,177.0,178.0
1761449886.0203602,607.0,177.0,176.0
1761449886.0572402,8.0,177.0,173.0
1761449886.091507,671.0,177.0,178.0
1761449886.1111,671.0,177.0,176.0
1761449886.129738,8.0,177.0,172.0
1761449886.1421883,637.0,177.0,179.0
1761449886.1706603,671.0,177.0,177.0
1761449886.2026596,9.0,177.0,172.0
1761449886.240062,231.0,177.0,176.0
1761449886.2594407,671.0,177.0,178.0
1761449886.2801454,9.0,177.0,173.0
1761449886.3188374,8.0,177.0,176.0
1761449886.3540723,671.0,177.0,178.0
1761449886.390052,9.0,177.0,173.0
1761449886.403417,8.0,177.0,175.0
1761449886.4148045,671.0,177.0,178.0
1761449886.434899,177.0,177.0,173.0
1761449886.470113,9.0,177.0,175.0
1761449886.5077615,671.0,177.0,179.0
1761449886.5422466,551.0,177.0,175.0
1761449886.5626445,8.0,177.0,173.0
1761449886.576213,672.0,177.0,179.0
1761449886.5928538,670.0,177.0,176.0
1761449886.6213174,9.0,177.0,173.0
1761449886.6580198,671.0,177.0,178.0
1761449886.6942475,671.0,177.0,177.0
1761449886.7127285,9.0,176.0,173.0
1761449886.7336998,405.0,177.0,177.0
1761449886.7519662,672.0,177.0,178.0
1761449886.7770097,9.0,177.0,173.0
1761449886.8073664,69.0,177.0,177.0
1761449886.8509426,672.0,177.0,179.0
1761449886.8683853,9.0,177.0,173.0
1761449886.886554,9.0,177.0,176.0
1761449886.9258955,671.0,177.0,178.0
1761449886.9663458,64.0,177.0,173.0
1761449886.9979055,9.0,177.0,174.0
1761449887.0007796,672.0,177.0,179.0
1761449887.0223303,474.0,177.0,175.0
1761449887.0447137,8.0,177.0,175.0
1761449887.0677207,671.0,177.0,179.0
1761449887.096514,669.0,177.0,176.0
1761449887.1298919,8.0,177.0,173.0
1761449887.1903007,671.0,177.0,178.0
1761449887.1957226,671.0,177.0,177.0
1761449887.2114851,8.0,176.0,173.0
1761449887.2269998,521.0,177.0,178.0
1761449887.257251,671.0,177.0,177.0
1761449887.2773573,9.0,176.0,173.0
1761449887.3339586,151.0,177.0,176.0
1761449887.3557286,671.0,177.0,178.0
1761449887.3636577,8.0,177.0,173.0
1761449887.383278,9.0,177.0,176.0
1761449887.4229515,671.0,177.0,179.0
1761449887.4630146,9.0,177.0,174.0
1761449887.5003955,8.0,177.0,175.0
1761449887.5215495,672.0,177.0,179.0
1761449887.5310357,355.0,176.0,175.0
1761449887.5477865,9.0,177.0,174.0
1761449887.5853975,671.0,177.0,178.0
1761449887.6588306,644.0,177.0,176.0
1761449887.6646543,8.0,176.0,173.0
1761449887.6833959,671.0,177.0,178.0
1761449887.6906033,672.0,177.0,177.0
1761449887.7050683,8.0,177.0,173.0
1761449887.7493317,648.0,177.0,178.0
1761449887.751776,671.0,177.0,176.0
1761449887.78906,8.0,176.0,173.0
1761449887.828039,253.0,177.0,176.0
1761449887.8497212,671.0,177.0,177.0
1761449887.8679585,8.0,176.0,173.0
1761449887.8864563,8.0,176.0,175.0
1761449887.9852474,672.0,177.0,179.0
1761449887.9912012,8.0,177.0,173.0
1761449888.0096364,8.0,176.0,175.0
1761449888.0163422,671.0,177.0,179.0
1761449888.0263734,242.0,176.0,175.0
1761449888.04316,9.0,177.0,175.0
1761449888.0718625,671.0,177.0,178.0
1761449888.1473646,583.0,176.0,176.0
1761449888.1529357,9.0,177.0,174.0
1761449888.1713126,672.0,177.0,179.0
1761449888.1857479,670.0,177.0,176.0
1761449888.2024653,9.0,176.0,173.0
1761449888.2302248,671.0,176.0,179.0
1761449888.2994797,672.0,177.0,177.0
1761449888.3019004,8.0,176.0,173.0
1761449888.3249152,367.0,176.0,178.0
1761449888.3458912,671.0,177.0,178.0
1761449888.35895,9.0,177.0,173.0
1761449888.3871205,47.0,176.0,176.0
1761449888.4203236,671.0,177.0,178.0
1761449888.4590383,8.0,176.0,173.0
1761449888.4852607,9.0,177.0,175.0
1761449888.5008705,672.0,177.0,179.0
1761449888.5180078,75.0,176.0,174.0
1761449888.5769236,9.0,177.0,174.0
1761449888.5829017,671.0,177.0,179.0
1761449888.6210084,480.0,176.0,175.0
1761449888.6441507,9.0,177.0,174.0
1761449888.6583605,672.0,177.0,178.0
1761449888.6774569,670.0,176.0,176.0
1761449888.703107,9.0,176.0,173.0
1761449888.736406,671.0,176.0,178.0
1761449888.7765603,671.0,176.0,177.0
1761449888.7962108,8.0,176.0,172.0
1761449888.8156025,501.0,177.0,177.0
1761449888.833393,671.0,176.0,176.0
1761449888.8916674,9.0,177.0,172.0
1761449888.9323778,140.0,176.0,176.0
1761449888.9382777,671.0,177.0,178.0
1761449888.962169,9.0,176.0,173.0
1761449888.9773057,9.0,177.0,175.0
1761449888.9930813,672.0,176.0,179.0
1761449889.021112,8.0,176.0,173.0
1761449889.0560799,9.0,176.0,175.0
1761449889.1072097,671.0,177.0,179.0
1761449889.112334,339.0,177.0,174.0
1761449889.1348412,9.0,176.0,174.0
1761449889.1578732,671.0,177.0,178.0
1761449889.1978748,652.0,177.0,175.0
1761449889.2321494,8.0,176.0,173.0
1761449889.2704246,671.0,176.0,179.0
1761449889.2727919,671.0,177.0,176.0
1761449889.2954698,9.0,176.0,173.0
1761449889.3157103,643.0,177.0,178.0
1761449889.3372686,671.0,176.0,177.0
1761449889.3897698,8.0,176.0,173.0
1761449889.4289,262.0,176.0,177.0
1761449889.4343836,672.0,177.0,178.0
1761449889.4525125,8.0,176.0,173.0
1761449889.4719214,8.0,176.0,176.0
1761449889.5008492,671.0,177.0,179.0
1761449889.5486348,9.0,177.0,172.0
1761449889.58672,8.0,177.0,174.0
1761449889.588936,671.0,176.0,179.0
1761449889.6118057,205.0,176.0,174.0
1761449889.6352823,8.0,176.0,175.0
1761449889.652554,671.0,177.0,179.0
1761449889.6896913,559.0,177.0,174.0
1761449889.7275,9.0,177.0,172.0
1761449889.773508,671.0,176.0,178.0
1761449889.7925382,670.0,176.0,176.0
1761449889.7974925,9.0,176.0,173.0
1761449889.8177583,671.0,176.0,179.0
1761449889.8368964,672.0,176.0,177.0
1761449889.865125,9.0,176.0,172.0
1761449889.958646,334.0,177.0,178.0
1761449890.003073,671.0,177.0,177.0
1761449890.0217013,8.0,176.0,171.0
1761449890.0249324,39.0,176.0,176.0
1761449890.0279524,671.0,176.0,179.0
1761449890.0333102,8.0,176.0,172.0
1761449890.0538843,9.0,177.0,175.0
1761449890.0986304,671.0,177.0,180.0
1761449890.102792,100.0,176.0,172.0
1761449890.1459212,8.0,176.0,175.0
1761449890.1918366,671.0,176.0,180.0
1761449890.2116458,486.0,176.0,174.0
1761449890.2141597,8.0,176.0,174.0
1761449890.2372549,671.0,176.0,180.0
1761449890.2754323,670.0,177.0,176.0
1761449890.3109727,8.0,176.0,172.0
1761449890.3528152,671.0,176.0,180.0
1761449890.3580432,671.0,176.0,175.0
1761449890.376416,8.0,177.0,171.0
1761449890.397596,527.0,176.0,179.0
1761449890.418675,671.0,176.0,176.0
1761449890.4433153,9.0,177.0,170.0
1761449890.475589,157.0,177.0,176.0
1761449890.5199878,671.0,176.0,178.0
1761449890.5387952,9.0,177.0,170.0
1761449890.556941,9.0,176.0,176.0
1761449890.5779252,671.0,177.0,179.0
1761449890.602921,8.0,176.0,171.0
1761449890.644789,9.0,177.0,174.0
1761449890.6919024,671.0,177.0,179.0
1761449890.715101,344.0,176.0,172.0
